epoch,accuracy,loss,val_accuracy,val_loss
0,0.6215000152587891,0.8417482376098633,0.8525000214576721,0.3699105978012085
1,0.8144999742507935,0.44863593578338623,0.8949999809265137,0.2718498110771179
2,0.8525000214576721,0.3712367117404938,0.8824999928474426,0.28651395440101624
3,0.8865000009536743,0.34156960248947144,0.8899999856948853,0.2778156101703644
4,0.8830000162124634,0.314740389585495,0.8924999833106995,0.27078431844711304
5,0.8964999914169312,0.26474395394325256,0.8987500071525574,0.2934083938598633
6,0.9144999980926514,0.26526549458503723,0.8837500214576721,0.43865150213241577
7,0.906499981880188,0.22994191944599152,0.8949999809265137,0.41844338178634644
8,0.9194999933242798,0.23901744186878204,0.8774999976158142,0.4980905055999756
9,0.9319999814033508,0.2147100567817688,0.8824999928474426,0.5101674795150757
